"isin","coupon_serie_code","in_catalog"
"TRT160926K85","TP.TRT160926K85.ORAN","False"
"TRT160228K56","TP.TRT160228K56.ORAN","False"
"TRT150328K72","TP.TRT150328K72.ORAN","False"
"TRD210826F19","TP.TRD210826F19.ORAN","False"
"TRT150426K57","TP.TRT150426K57.ORAN","False"
"TRT180326K97","TP.TRT180326K97.ORAN","False"
"TRT160828K35","TP.TRT160828K35.ORAN","False"
"TRD171127T21","TP.TRD171127T21.ORAN","False"
"TRT141026K50","TP.TRT141026K50.ORAN","False"
"TRT021030K25","TP.TRT021030K25.ORAN","False"
"TRT130230K22","TP.TRT130230K22.ORAN","False"
"TRT040429K32","TP.TRT040429K32.ORAN","False"
"TRT120231K22","TP.TRT120231K22.ORAN","True"
"TRT110930A11","TP.TRT110930A11.ORAN","True"
"TRT050935K12","TP.TRT050935K12.ORAN","True"
"TRT110832K18","TP.TRT110832K18.ORAN","True"
"TRT131027T36","TP.TRT131027T36.ORAN","False"
"TRT130330K39","TP.TRT130330K39.ORAN","False"
"TRT120331K39","TP.TRT120331K39.ORAN","True"
"TRT140329K56","TP.TRT140329K56.ORAN","False"
"TRT140329K64","TP.TRT140329K64.ORAN","True"
"TRT041028K35","TP.TRT041028K35.ORAN","False"
"TRT170327K97","TP.TRT170327K97.ORAN","False"
"TRT021030A19","TP.TRT021030A19.ORAN","True"
"TRT021030T26","TP.TRT021030T26.ORAN","False"
"TRD161226K54","TP.TRD161226K54.ORAN","False"
"TRT030430K22","TP.TRT030430K22.ORAN","False"
"TRT170227K64","TP.TRT170227K64.ORAN","False"
"TRT031029K35","TP.TRT031029K35.ORAN","False"
"TRT170327KA9","TP.TRT170327KA9.ORAN","False"
"TRT160431T35","TP.TRT160431T35.ORAN","False"
"TRT160926KA0","TP.TRT160926KA0.ORAN","False"
"TRT190428K44","TP.TRT190428K44.ORAN","False"
"TRT181028K47","TP.TRT181028K47.ORAN","False"
"TRT150328T16","TP.TRT150328T16.ORAN","False"
"TRT150927K93","TP.TRT150927K93.ORAN","False"
"TRB170626T13","TP.TRB170626T13.ORAN","False"
"TRD080927K25","TP.TRD080927K25.ORAN","False"
"TRT150328K80","TP.TRT150328K80.ORAN","True"
"TRT150328T24","TP.TRT150328T24.ORAN","False"
"TRD150328T14","TP.TRD150328T14.ORAN","False"
"TRT150328T32","TP.TRT150328T32.ORAN","False"
"TRT171029K39","TP.TRT171029K39.ORAN","False"
"TRD061027A26","TP.TRD061027A26.ORAN","False"
"TRT030327F17","TP.TRT030327F17.ORAN","False"
"TRM070426T14","TP.TRM070426T14.ORAN","False"
"TRM080426T13","TP.TRM080426T13.ORAN","False"
"TRD100327K27","TP.TRD100327K27.ORAN","False"
"TRD110827T14","TP.TRD110827T14.ORAN","False"
"TRT160431K34","TP.TRT160431K34.ORAN","False"
"TRD090627F16","TP.TRD090627F16.ORAN","False"
"TRD080927A27","TP.TRD080927A27.ORAN","False"
"TRT201027K51","TP.TRT201027K51.ORAN","True"
"TRT150328A17","TP.TRT150328A17.ORAN","False"
"TRD061027K24","TP.TRD061027K24.ORAN","False"
"TRD090628T19","TP.TRD090628T19.ORAN","False"
"TRD110326K27","TP.TRD110326K27.ORAN","False"
"TRD141026K41","TP.TRD141026K41.ORAN","False"
"TRD140427K30","TP.TRD140427K30.ORAN","False"
"TRT140427F13","TP.TRT140427F13.ORAN","False"
"TRB170327T15","TP.TRB170327T15.ORAN","False"
"TRD120428T24","TP.TRD120428T24.ORAN","False"
"TRD120428T32","TP.TRD120428T32.ORAN","False"
"TRD120428K31","TP.TRD120428K31.ORAN","False"
"TRT090628T11","TP.TRT090628T11.ORAN","False"
"TRB100227T13","TP.TRB100227T13.ORAN","False"
"TRD131027K33","TP.TRD131027K33.ORAN","False"
"TRD120428A17","TP.TRD120428A17.ORAN","False"
"TRD160627A20","TP.TRD160627A20.ORAN","False"
"TRT170430K34","TP.TRT170430K34.ORAN","False"
"TRD110827K21","TP.TRD110827K21.ORAN","True"
"TRD120826K47","TP.TRD120826K47.ORAN","False"
"TRD080426K39","TP.TRD080426K39.ORAN","False"
"TRT160431A28","TP.TRT160431A28.ORAN","False"
"TRD061027T41","TP.TRD061027T41.ORAN","False"
"TRT161030K37","TP.TRT161030K37.ORAN","False"
"TRT090627F18","TP.TRT090627F18.ORAN","False"
"TRD120428T16","TP.TRD120428T16.ORAN","False"
"TRD160627K44","TP.TRD160627K44.ORAN","False"
"TRT120428T18","TP.TRT120428T18.ORAN","False"
"TRD050231K29","TP.TRD050231K29.ORAN","False"
"TRD110827K39","TP.TRD110827K39.ORAN","False"
"TRT080530K18","TP.TRT080530K18.ORAN","True"
"TRT111126K29","TP.TRT111126K29.ORAN","False"
"TRM060426T15","TP.TRM060426T15.ORAN","False"
"TRT100528K26","TP.TRT100528K26.ORAN","False"
"TRT100528F15","TP.TRT100528F15.ORAN","False"
"TRT080530A10","TP.TRT080530A10.ORAN","False"
"TRT081128K22","TP.TRT081128K22.ORAN","False"
"TRT071129K14","TP.TRT071129K14.ORAN","False"
"TRD050231A13","TP.TRD050231A13.ORAN","False"
"TRT120527K25","TP.TRT120527K25.ORAN","False"
"TRD160627T45","TP.TRD160627T45.ORAN","False"
"TRT030227F18","TP.TRT030227F18.ORAN","False"
"TRD180827T17","TP.TRD180827T17.ORAN","False"
"TRT101127K29","TP.TRT101127K29.ORAN","False"
"TRD090828K24","TP.TRD090828K24.ORAN","False"
"TRD030227F16","TP.TRD030227F16.ORAN","False"
"TRT180827T35","TP.TRT180827T35.ORAN","False"
"TRD100528F13","TP.TRD100528F13.ORAN","False"
"TRT090529K10","TP.TRT090529K10.ORAN","False"
"TRT080530T27","TP.TRT080530T27.ORAN","False"
"TRD060230K29","TP.TRD060230K29.ORAN","True"
"TRD070229K21","TP.TRD070229K21.ORAN","False"
"TRT180429K36","TP.TRT180429K36.ORAN","False"
"TRD110226K44","TP.TRD110226K44.ORAN","False"
"TRD050231T20","TP.TRD050231T20.ORAN","False"
"TRT160431T43","TP.TRT160431T43.ORAN","False"
"TRD160627T37","TP.TRD160627T37.ORAN","False"
"TRD171127T39","TP.TRD171127T39.ORAN","False"
"TRD080829K24","TP.TRD080829K24.ORAN","False"
"TRM030426T18","TP.TRM030426T18.ORAN","False"
"TRM020426T19","TP.TRM020426T19.ORAN","False"
"TRT171127T31","TP.TRT171127T31.ORAN","False"
"TRT211026K51","TP.TRT211026K51.ORAN","False"
"TRD090228K20","TP.TRD090228K20.ORAN","False"
"TRD080927T42","TP.TRD080927T42.ORAN","False"
"TRD050231T12","TP.TRD050231T12.ORAN","False"
"TRD070830K22","TP.TRD070830K22.ORAN","False"
"TRT080530T35","TP.TRT080530T35.ORAN","True"
"TRT120128K36","TP.TRT120128K36.ORAN","False"
"TRD100227K44","TP.TRD100227K44.ORAN","True"
"TRD090926K25","TP.TRD090926K25.ORAN","False"
"TRD120826K54","TP.TRD120826K54.ORAN","False"
"TRD061027T33","TP.TRD061027T33.ORAN","False"
"TRT210427K58","TP.TRT210427K58.ORAN","False"
"TRT270934T18","TP.TRT270934T18.ORAN","True"
"TRT270934T26","TP.TRT270934T26.ORAN","True"
"TRT270934A19","TP.TRT270934A19.ORAN","True"
"TRT270934K17","TP.TRT270934K17.ORAN","True"
"TRT290334K11","TP.TRT290334K11.ORAN","False"
"TRT051033T12","TP.TRT051033T12.ORAN","False"
"TRT051033T20","TP.TRT051033T20.ORAN","False"
"TRT051033A13","TP.TRT051033A13.ORAN","False"
"TRT051033K11","TP.TRT051033K11.ORAN","True"
"TRT280933K17","TP.TRT280933K17.ORAN","False"
"TRT130733T17","TP.TRT130733T17.ORAN","True"
"TRT130733T25","TP.TRT130733T25.ORAN","False"
"TRT130733A18","TP.TRT130733A18.ORAN","False"
"TRT130733K16","TP.TRT130733K16.ORAN","False"
"TRT060433K18","TP.TRT060433K18.ORAN","False"
"TRT300333K19","TP.TRT300333K19.ORAN","False"
"TRT120133K21","TP.TRT120133K21.ORAN","True"
"TRT131032T13","TP.TRT131032T13.ORAN","False"
"TRT131032T21","TP.TRT131032T21.ORAN","False"
"TRT131032A14","TP.TRT131032A14.ORAN","True"
"TRT131032K12","TP.TRT131032K12.ORAN","False"
"TRT061032K11","TP.TRT061032K11.ORAN","False"
"TRT290932K17","TP.TRT290932K17.ORAN","False"
"TRT140732K24","TP.TRT140732K24.ORAN","False"
"TRT280432A15","TP.TRT280432A15.ORAN","False"
"TRT280432K13","TP.TRT280432K13.ORAN","False"
"TRT280432T14","TP.TRT280432T14.ORAN","False"
"TRT280432T22","TP.TRT280432T22.ORAN","True"
"TRT140432K19","TP.TRT140432K19.ORAN","False"
"TRT070432K18","TP.TRT070432K18.ORAN","False"
"TRT310332K19","TP.TRT310332K19.ORAN","True"
"TRT100332A16","TP.TRT100332A16.ORAN","False"
"TRT100332K22","TP.TRT100332K22.ORAN","False"
"TRT100332T15","TP.TRT100332T15.ORAN","False"
"TRT100332T23","TP.TRT100332T23.ORAN","True"
"TRT140132K20","TP.TRT140132K20.ORAN","True"
"TRT291031K15","TP.TRT291031K15.ORAN","False"
"TRT151031K11","TP.TRT151031K11.ORAN","True"
"TRT081031K10","TP.TRT081031K10.ORAN","False"
"TRT011031K17","TP.TRT011031K17.ORAN","False"
"TRT100931K27","TP.TRT100931K27.ORAN","False"
"TRT160731K23","TP.TRT160731K23.ORAN","False"
"TRT300431K10","TP.TRT300431K10.ORAN","True"
"TRT160431K18","TP.TRT160431K18.ORAN","True"
"TRT160431T19","TP.TRT160431T19.ORAN","False"
"TRT160431T27","TP.TRT160431T27.ORAN","True"
"TRT160431A10","TP.TRT160431A10.ORAN","True"
"TRT160431K26","TP.TRT160431K26.ORAN","False"
"TRT090431K17","TP.TRT090431K17.ORAN","True"
"TRT020431K14","TP.TRT020431K14.ORAN","False"
"TRT120331K21","TP.TRT120331K21.ORAN","False"
"TRT150131K20","TP.TRT150131K20.ORAN","True"
"TRT131130A15","TP.TRT131130A15.ORAN","True"
"TRT131130K13","TP.TRT131130K13.ORAN","True"
"TRT131130T14","TP.TRT131130T14.ORAN","False"
"TRT131130T22","TP.TRT131130T22.ORAN","False"
"TRT301030K13","TP.TRT301030K13.ORAN","False"
"TRT161030K11","TP.TRT161030K11.ORAN","True"
"TRT161030K29","TP.TRT161030K29.ORAN","False"
"TRT091030K10","TP.TRT091030K10.ORAN","True"
"TRT021030K17","TP.TRT021030K17.ORAN","False"
"TRT110930K27","TP.TRT110930K27.ORAN","True"
"TRT170730K23","TP.TRT170730K23.ORAN","True"
"TRT100730A14","TP.TRT100730A14.ORAN","True"
"TRT100730K12","TP.TRT100730K12.ORAN","False"
"TRT100730T13","TP.TRT100730T13.ORAN","False"
"TRT100730T21","TP.TRT100730T21.ORAN","False"
"TRT050630T11","TP.TRT050630T11.ORAN","False"
"TRT050630T29","TP.TRT050630T29.ORAN","True"
"TRT050630A12","TP.TRT050630A12.ORAN","False"
"TRT050630K10","TP.TRT050630K10.ORAN","True"
"TRT150530K19","TP.TRT150530K19.ORAN","False"
"TRT010530K15","TP.TRT010530K15.ORAN","False"
"TRT170430K18","TP.TRT170430K18.ORAN","False"
"TRT170430K26","TP.TRT170430K26.ORAN","False"
"TRT100430K15","TP.TRT100430K15.ORAN","True"
"TRT030430K14","TP.TRT030430K14.ORAN","False"
"TRT130330K21","TP.TRT130330K21.ORAN","False"
"TRT160130K20","TP.TRT160130K20.ORAN","False"
"TRT090130K11","TP.TRT090130K11.ORAN","False"
"TRT051229K15","TP.TRT051229K15.ORAN","True"
"TRT141129K15","TP.TRT141129K15.ORAN","True"
"TRT311029K15","TP.TRT311029K15.ORAN","False"
"TRT171029K13","TP.TRT171029K13.ORAN","True"
"TRT171029K21","TP.TRT171029K21.ORAN","False"
"TRT101029K10","TP.TRT101029K10.ORAN","True"
"TRT031029T10","TP.TRT031029T10.ORAN","True"
"TRT031029T28","TP.TRT031029T28.ORAN","False"
"TRT031029A11","TP.TRT031029A11.ORAN","False"
"TRT031029K19","TP.TRT031029K19.ORAN","False"
"TRT031029K27","TP.TRT031029K27.ORAN","False"
"TRT120929T12","TP.TRT120929T12.ORAN","True"
"TRT120929T20","TP.TRT120929T20.ORAN","False"
"TRT120929A13","TP.TRT120929A13.ORAN","False"
"TRT120929K29","TP.TRT120929K29.ORAN","False"
"TRT120929K37","TP.TRT120929K37.ORAN","True"
"TRT180729K25","TP.TRT180729K25.ORAN","True"
"TRT110729K14","TP.TRT110729K14.ORAN","True"
"TRT040729A15","TP.TRT040729A15.ORAN","False"
"TRT040729K13","TP.TRT040729K13.ORAN","False"
"TRT040729T14","TP.TRT040729T14.ORAN","True"
"TRT040729T22","TP.TRT040729T22.ORAN","False"
"TRT130629A23","TP.TRT130629A23.ORAN","False"
"TRT130629K21","TP.TRT130629K21.ORAN","False"
"TRT130629T30","TP.TRT130629T30.ORAN","False"
"TRT130629T48","TP.TRT130629T48.ORAN","True"
"TRT060629K12","TP.TRT060629K12.ORAN","True"
"TRT160529K11","TP.TRT160529K11.ORAN","False"
"TRT020529K17","TP.TRT020529K17.ORAN","False"
"TRT180429K10","TP.TRT180429K10.ORAN","False"
"TRT180429K28","TP.TRT180429K28.ORAN","True"
"TRT110429K17","TP.TRT110429K17.ORAN","False"
"TRT040429K16","TP.TRT040429K16.ORAN","False"
"TRT040429K24","TP.TRT040429K24.ORAN","False"
"TRT140329K23","TP.TRT140329K23.ORAN","False"
"TRT140329K31","TP.TRT140329K31.ORAN","False"
"TRT140329K49","TP.TRT140329K49.ORAN","False"
